schema_version	gene	ensembl_gene_id	gene_type	chromosome	start	end	strand	window_start	window_end	genome_build
phase19b_sex_apoe_kda_combo_v2_loci	TBC1D8	ENSG00000204634	protein_coding	2	101007228	101252866	-	100007228	102252866	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	TBCK	ENSG00000145348	protein_coding	4	106041599	106316683	-	105041599	107316683	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	TCEAL2	ENSG00000184905	protein_coding	X	102125679	102140426	+	101125679	103140426	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	TCEAL5	ENSG00000204065	protein_coding	X	103273691	103276750	-	102273691	104276750	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	TCEAL7	ENSG00000182916	protein_coding	X	103330229	103332326	+	102330229	104332326	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	TENM1	ENSG00000009694	protein_coding	X	124375903	125204312	-	123375903	126204312	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	TM7SF3	ENSG00000064115	protein_coding	12	26971579	27014434	-	25971579	28014434	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	TMBIM1	ENSG00000135926	protein_coding	2	218274197	218292586	-	217274197	219292586	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	TMEM147	ENSG00000105677	protein_coding	19	35545600	35547526	+	34545600	36547526	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	TMEM160	ENSG00000130748	protein_coding	19	47045909	47048624	-	46045909	48048624	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	TNIK	ENSG00000154310	protein_coding	3	171058414	171460408	-	170058414	172460408	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	TPI1	ENSG00000111669	protein_coding	12	6867119	6870948	+	5867119	7870948	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	TRERF1	ENSG00000124496	protein_coding	6	42224931	42452051	-	41224931	43452051	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	TRIR	ENSG00000123144	protein_coding	19	12730640	12734684	-	11730640	13734684	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	TTC8	ENSG00000165533	protein_coding	14	88824153	88881078	+	87824153	89881078	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	TTF1	ENSG00000125482	protein_coding	9	132375548	132406851	-	131375548	133406851	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	TUBA1A	ENSG00000167552	protein_coding	12	49184686	49189080	-	48184686	50189080	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	TUBB2B	ENSG00000137285	protein_coding	6	3223324	3231730	-	2223324	4231730	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	TXNDC9	ENSG00000115514	protein_coding	2	99318982	99340702	-	98318982	100340702	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	UBB	ENSG00000170315	protein_coding	17	16380798	16382745	+	15380798	17382745	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	UBC	ENSG00000150991	protein_coding	12	124911604	124917368	-	123911604	125917368	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	ULK2	ENSG00000083290	protein_coding	17	19770829	19867936	-	18770829	20867936	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	USP39	ENSG00000168883	protein_coding	2	85602856	85649283	+	84602856	86649283	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	VPS37A	ENSG00000155975	protein_coding	8	17246931	17302427	+	16246931	18302427	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	WDR6	ENSG00000178252	protein_coding	3	49007062	49015953	+	48007062	50015953	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	WDR82	ENSG00000164091	protein_coding	3	52254434	52288020	-	51254434	53288020	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	ZNF254	ENSG00000213096	protein_coding	19	24033405	24129968	+	23033405	25129968	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	ZNF280D	ENSG00000137871	protein_coding	15	56630176	56734086	-	55630176	57734086	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	ZNF428	ENSG00000131116	protein_coding	19	43607224	43619629	-	42607224	44619629	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	ZNF738	ENSG00000172687	protein_coding	19	21358930	21388582	+	20358930	22388582	GRCh38
