schema_version	candidate_id	gene	priority_tier	trait_id	source_accession	ensembl_gene_id	chromosome_candidate	start_candidate	end	chromosome_magma	start_magma	stop	n_snps	z_stat	p_value	candidate_threshold	candidate_significant	test_status	result_provenance
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0218	UBB	P2	clinical_ad	GCST90027158	ENSG00000170315	17	16380798	16382745	17	16284112.0	16286059.0	6.0	-0.18723	0.57426	5.482456140350877e-05	False	tested	fresh_magma_v1.10_phase19b
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0219	UBC	P2	clinical_ad	GCST90027158	ENSG00000150991	12	124911604	124917368	12	125396150.0	125401914.0	37.0	-0.26838	0.6058	5.482456140350877e-05	False	tested	fresh_magma_v1.10_phase19b
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0220	ULK2	P3	clinical_ad	GCST90027158	ENSG00000083290	17	19770829	19867936	17	19674142.0	19771249.0	350.0	-0.060858	0.52426	5.482456140350877e-05	False	tested	fresh_magma_v1.10_phase19b
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0221	USP39	P3	clinical_ad	GCST90027158	ENSG00000168883	2	85602856	85649283	2	85829979.0	85876403.0	169.0	0.93722	0.17432	5.482456140350877e-05	False	tested	fresh_magma_v1.10_phase19b
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0222	VPS37A	P3	clinical_ad	GCST90027158	ENSG00000155975	8	17246931	17302427	8	17104080.0	17159936.0	337.0	1.9631	0.024817	5.482456140350877e-05	False	tested	fresh_magma_v1.10_phase19b
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0223	WDR6	P2	clinical_ad	GCST90027158	ENSG00000178252	3	49007062	49015953	3	49044495.0	49053386.0	16.0	0.67161	0.25092	5.482456140350877e-05	False	tested	fresh_magma_v1.10_phase19b
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0224	WDR82	P2	clinical_ad	GCST90027158	ENSG00000164091	3	52254434	52288020	3	52288437.0	52322036.0	122.0	-0.94038	0.82649	5.482456140350877e-05	False	tested	fresh_magma_v1.10_phase19b
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0225	ZNF254	P3	clinical_ad	GCST90027158	ENSG00000213096	19	24033405	24129968	19	24216276.0	24312654.0	461.0	0.59073	0.27735	5.482456140350877e-05	False	tested	fresh_magma_v1.10_phase19b
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0226	ZNF280D	P2	clinical_ad	GCST90027158	ENSG00000137871	15	56630176	56734086	15	56922379.0	57210769.0	1128.0	0.64319	0.26005	5.482456140350877e-05	False	tested	fresh_magma_v1.10_phase19b
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0227	ZNF428	P2	clinical_ad	GCST90027158	ENSG00000131116	19	43607224	43619629	19	44111371.0	44124026.0	45.0	0.36431	0.35782	5.482456140350877e-05	False	tested	fresh_magma_v1.10_phase19b
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0228	ZNF738	P3	clinical_ad	GCST90027158	ENSG00000172687	19	21358930	21388582	19	21541732.0	21562104.0	115.0	0.40474	0.34283	5.482456140350877e-05	False	tested	fresh_magma_v1.10_phase19b
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0001	ACAT2	P2	csf_abeta42	GCST90726396	ENSG00000120437	6	159762045	159779112	6	160181360.0	160200144.0	64.0	0.24397	0.40363	5.482456140350877e-05	False	tested	reused_checksum_validated_phase19_full_genome_magma
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0002	AGRN	P2	csf_abeta42	GCST90726396	ENSG00000188157	1	1020120	1056118	1	955503.0	991496.0	84.0	1.3473	0.088948	5.482456140350877e-05	False	tested	reused_checksum_validated_phase19_full_genome_magma
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0003	AL035071.1	P3	csf_abeta42	GCST90726396	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.482456140350877e-05	False	not_assessable_symbol_mapping_failed	NA
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0004	AL139260.1	P3	csf_abeta42	GCST90726396	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.482456140350877e-05	False	not_assessable_symbol_mapping_failed	NA
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0005	ALG8	P3	csf_abeta42	GCST90726396	ENSG00000159063	11	78095244	78139660	11	77811982.0	77850706.0	201.0	-0.36335	0.64183	5.482456140350877e-05	False	tested	reused_checksum_validated_phase19_full_genome_magma
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0006	ANKRD11	P2	csf_abeta42	GCST90726396	ENSG00000167522	16	89267630	89490561	16	89334038.0	89556969.0	389.0	0.67819	0.24883	5.482456140350877e-05	False	tested	reused_checksum_validated_phase19_full_genome_magma
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0007	ANKRD13A	P3	csf_abeta42	GCST90726396	ENSG00000076513	12	109999186	110039763	12	110436991.0	110477568.0	66.0	1.5708	0.058113	5.482456140350877e-05	False	tested	reused_checksum_validated_phase19_full_genome_magma
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0008	AP2M1	P2	csf_abeta42	GCST90726396	ENSG00000161203	3	184174689	184184214	3	183892477.0	183901879.0	18.0	1.3634	0.086374	5.482456140350877e-05	False	tested	reused_checksum_validated_phase19_full_genome_magma
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0009	APOE	P2	csf_abeta42	GCST90726396	ENSG00000130203	19	44905791	44909393	19	45409011.0	45412650.0	5.0	6.1094	5e-10	5.482456140350877e-05	True	tested	reused_checksum_validated_phase19_full_genome_magma
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0010	ARGLU1	P3	csf_abeta42	GCST90726396	ENSG00000134884	13	106541673	106568137	13	107194021.0	107220512.0	22.0	-0.31201	0.62249	5.482456140350877e-05	False	tested	reused_checksum_validated_phase19_full_genome_magma
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0011	ARID5A	P2	csf_abeta42	GCST90726396	ENSG00000196843	2	96536743	96552634	2	97202480.0	97218375.0	21.0	0.7128	0.23798	5.482456140350877e-05	False	tested	reused_checksum_validated_phase19_full_genome_magma
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0012	ATCAY	P2	csf_abeta42	GCST90726396	ENSG00000167654	19	3879864	3928082	19	3879862.0	3928077.0	112.0	-1.2042	0.88575	5.482456140350877e-05	False	tested	reused_checksum_validated_phase19_full_genome_magma
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0013	ATG101	P2	csf_abeta42	GCST90726396	ENSG00000123395	12	52069246	52077495	12	52463030.0	52471278.0	23.0	0.22043	0.41277	5.482456140350877e-05	False	tested	reused_checksum_validated_phase19_full_genome_magma
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0014	ATP6AP2	P2	csf_abeta42	GCST90726396	ENSG00000182220	X	40579372	40606848	NA	NA	NA	NA	NA	NA	5.482456140350877e-05	False	not_assessable_no_fuma_v110_reference_gene_model	NA
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0015	ATP6V0B	P2	csf_abeta42	GCST90726396	ENSG00000117410	1	43974487	43978295	1	44440159.0	44443967.0	7.0	1.0585	0.14492	5.482456140350877e-05	False	tested	reused_checksum_validated_phase19_full_genome_magma
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0016	ATP6V0E2	P3	csf_abeta42	GCST90726396	ENSG00000171130	7	149872968	149891204	7	149570057.0	149577784.0	31.0	0.14286	0.4432	5.482456140350877e-05	False	tested	reused_checksum_validated_phase19_full_genome_magma
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0017	ATP6V1F	P2	csf_abeta42	GCST90726396	ENSG00000128524	7	128862856	128865847	7	128502880.0	128505898.0	8.0	2.0515	0.020108	5.482456140350877e-05	False	tested	reused_checksum_validated_phase19_full_genome_magma
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0018	ATP6V1G1	P2	csf_abeta42	GCST90726396	ENSG00000136888	9	114587706	114598915	9	117350026.0	117360653.0	20.0	-1.1889	0.88277	5.482456140350877e-05	False	tested	reused_checksum_validated_phase19_full_genome_magma
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0019	B3GAT3	P2	csf_abeta42	GCST90726396	ENSG00000149541	11	62615296	62622154	11	62382768.0	62389647.0	5.0	1.4102	0.07924	5.482456140350877e-05	False	tested	reused_checksum_validated_phase19_full_genome_magma
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0020	BAIAP2L1	P2	csf_abeta42	GCST90726396	ENSG00000006453	7	98291650	98401090	7	97920963.0	98030380.0	230.0	0.096982	0.46137	5.482456140350877e-05	False	tested	reused_checksum_validated_phase19_full_genome_magma
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0021	BCL6	P2	csf_abeta42	GCST90726396	ENSG00000113916	3	187721377	187745725	3	187439165.0	187463515.0	64.0	-0.17951	0.57123	5.482456140350877e-05	False	tested	reused_checksum_validated_phase19_full_genome_magma
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0022	BEX1	P2	csf_abeta42	GCST90726396	ENSG00000133169	X	103062651	103064171	NA	NA	NA	NA	NA	NA	5.482456140350877e-05	False	not_assessable_no_fuma_v110_reference_gene_model	NA
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0023	BEX3	P2	csf_abeta42	GCST90726396	ENSG00000166681	X	103376395	103378164	NA	NA	NA	NA	NA	NA	5.482456140350877e-05	False	not_assessable_no_fuma_v110_reference_gene_model	NA
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0024	BEX4	P3	csf_abeta42	GCST90726396	ENSG00000102409	X	103215108	103217246	NA	NA	NA	NA	NA	NA	5.482456140350877e-05	False	not_assessable_no_fuma_v110_reference_gene_model	NA
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0025	BEX5	P2	csf_abeta42	GCST90726396	ENSG00000184515	X	102153708	102155977	NA	NA	NA	NA	NA	NA	5.482456140350877e-05	False	not_assessable_no_fuma_v110_reference_gene_model	NA
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0026	BMPR2	P2	csf_abeta42	GCST90726396	ENSG00000204217	2	202376327	202567751	2	203241659.0	203432474.0	280.0	-0.45698	0.67616	5.482456140350877e-05	False	tested	reused_checksum_validated_phase19_full_genome_magma
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0027	BRD1	P3	csf_abeta42	GCST90726396	ENSG00000100425	22	49773283	49827873	22	50166931.0	50221160.0	119.0	-1.9615	0.97509	5.482456140350877e-05	False	tested	reused_checksum_validated_phase19_full_genome_magma
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0028	BRK1	P3	csf_abeta42	GCST90726396	ENSG00000254999	3	10115675	10127190	3	10157276.0	10168874.0	42.0	-0.85381	0.80339	5.482456140350877e-05	False	tested	reused_checksum_validated_phase19_full_genome_magma
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0029	BTF3	P2	csf_abeta42	GCST90726396	ENSG00000145741	5	73498408	73505667	5	72794233.0	72801460.0	16.0	0.71274	0.238	5.482456140350877e-05	False	tested	reused_checksum_validated_phase19_full_genome_magma
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0030	C11orf68	P3	csf_abeta42	GCST90726396	ENSG00000175573	11	65916810	65919062	11	65684279.0	65686588.0	5.0	0.46701	0.32025	5.482456140350877e-05	False	tested	reused_checksum_validated_phase19_full_genome_magma
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0031	CADM1	P2	csf_abeta42	GCST90726396	ENSG00000182985	11	115169218	115504957	11	115039938.0	115375675.0	496.0	-0.8616	0.80554	5.482456140350877e-05	False	tested	reused_checksum_validated_phase19_full_genome_magma
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0032	CAMK2N2	P2	csf_abeta42	GCST90726396	ENSG00000163888	3	184259213	184261553	3	183977001.0	183979251.0	4.0	-0.4984	0.6909	5.482456140350877e-05	False	tested	reused_checksum_validated_phase19_full_genome_magma
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0033	CARNS1	P3	csf_abeta42	GCST90726396	ENSG00000172508	11	67414968	67425607	11	67182439.0	67193078.0	15.0	-0.87309	0.80869	5.482456140350877e-05	False	tested	reused_checksum_validated_phase19_full_genome_magma
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0034	CCDC85B	P2	csf_abeta42	GCST90726396	ENSG00000175602	11	65890673	65891635	11	65657875.0	65659105.0	2.0	-0.34935	0.63659	5.482456140350877e-05	False	tested	reused_checksum_validated_phase19_full_genome_magma
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0035	CD81	P3	csf_abeta42	GCST90726396	ENSG00000110651	11	2376177	2397802	11	2397407.0	2418649.0	72.0	-0.97525	0.83528	5.482456140350877e-05	False	tested	reused_checksum_validated_phase19_full_genome_magma
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0036	CEBPD	P2	csf_abeta42	GCST90726396	ENSG00000221869	8	47736913	47738164	8	48649471.0	48651648.0	1.0	0.95456	0.1699	5.482456140350877e-05	False	tested	reused_checksum_validated_phase19_full_genome_magma
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0037	CEP57	P3	csf_abeta42	GCST90726396	ENSG00000166037	11	95789965	95832693	11	95523129.0	95565857.0	130.0	-0.55068	0.70907	5.482456140350877e-05	False	tested	reused_checksum_validated_phase19_full_genome_magma
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0038	CFL1	P3	csf_abeta42	GCST90726396	ENSG00000172757	11	65823022	65862026	11	65590493.0	65629497.0	63.0	0.65395	0.25657	5.482456140350877e-05	False	tested	reused_checksum_validated_phase19_full_genome_magma
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0039	CHGA	P3	csf_abeta42	GCST90726396	ENSG00000100604	14	92923150	92935285	14	93389425.0	93401638.0	40.0	2.0091	0.022264	5.482456140350877e-05	False	tested	reused_checksum_validated_phase19_full_genome_magma
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0040	CHID1	P3	csf_abeta42	GCST90726396	ENSG00000177830	11	867859	915058	11	867357.0	915058.0	98.0	-2.2668	0.9883	5.482456140350877e-05	False	tested	reused_checksum_validated_phase19_full_genome_magma
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0041	CHORDC1	P2	csf_abeta42	GCST90726396	ENSG00000110172	11	90200429	90223077	11	89934328.0	89956532.0	62.0	-0.44658	0.67241	5.482456140350877e-05	False	tested	reused_checksum_validated_phase19_full_genome_magma
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0042	CLVS1	P3	csf_abeta42	GCST90726396	ENSG00000177182	8	61057158	61501645	8	61969717.0	62414204.0	1132.0	-0.88675	0.81239	5.482456140350877e-05	False	tested	reused_checksum_validated_phase19_full_genome_magma
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0043	CORO6	P3	csf_abeta42	GCST90726396	ENSG00000167549	17	29614756	29622912	17	27941774.0	27949925.0	9.0	0.46042	0.32261	5.482456140350877e-05	False	tested	reused_checksum_validated_phase19_full_genome_magma
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0044	CRYL1	P3	csf_abeta42	GCST90726396	ENSG00000165475	13	20403666	20525873	13	20977806.0	21099996.0	417.0	0.3028	0.38102	5.482456140350877e-05	False	tested	reused_checksum_validated_phase19_full_genome_magma
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0045	CTNND2	P3	csf_abeta42	GCST90726396	ENSG00000169862	5	10971836	11904446	5	10971952.0	11904155.0	2363.0	0.09231	0.46323	5.482456140350877e-05	False	tested	reused_checksum_validated_phase19_full_genome_magma
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0046	CUTA	P2	csf_abeta42	GCST90726396	ENSG00000112514	6	33416442	33418317	6	33384219.0	33386094.0	3.0	0.32238	0.37358	5.482456140350877e-05	False	tested	reused_checksum_validated_phase19_full_genome_magma
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0047	DEF8	P2	csf_abeta42	GCST90726396	ENSG00000140995	16	89948697	89968060	16	90014333.0	90034468.0	85.0	1.3779	0.084114	5.482456140350877e-05	False	tested	reused_checksum_validated_phase19_full_genome_magma
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0048	DNAJB1	P3	csf_abeta42	GCST90726396	ENSG00000132002	19	14514769	14560391	19	14625582.0	14640582.0	22.0	-1.3256	0.90751	5.482456140350877e-05	False	tested	reused_checksum_validated_phase19_full_genome_magma
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0049	DNMT3A	P3	csf_abeta42	GCST90726396	ENSG00000119772	2	25227855	25342590	2	25455845.0	25565459.0	170.0	-0.053231	0.52123	5.482456140350877e-05	False	tested	reused_checksum_validated_phase19_full_genome_magma
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0050	DUBR	P3	csf_abeta42	GCST90726396	ENSG00000243701	3	107220744	107348464	NA	NA	NA	NA	NA	NA	5.482456140350877e-05	False	not_assessable_no_fuma_v110_reference_gene_model	NA
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0051	DYNLL1	P2	csf_abeta42	GCST90726396	ENSG00000088986	12	120469850	120498493	12	120907653.0	120936296.0	71.0	3.602	0.00015792	5.482456140350877e-05	False	tested	reused_checksum_validated_phase19_full_genome_magma
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0052	DYNLT1	P2	csf_abeta42	GCST90726396	ENSG00000146425	6	158636474	158644743	6	159057506.0	159065771.0	14.0	0.53875	0.29503	5.482456140350877e-05	False	tested	reused_checksum_validated_phase19_full_genome_magma
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0053	DZIP1	P3	csf_abeta42	GCST90726396	ENSG00000134874	13	95578202	95644706	13	96230457.0	96296957.0	67.0	-1.1123	0.86699	5.482456140350877e-05	False	tested	reused_checksum_validated_phase19_full_genome_magma
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0054	EDF1	P2	csf_abeta42	GCST90726396	ENSG00000107223	9	136862119	136866308	9	139756571.0	139760738.0	2.0	-0.015325	0.50611	5.482456140350877e-05	False	tested	reused_checksum_validated_phase19_full_genome_magma
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0055	EIF1	P2	csf_abeta42	GCST90726396	ENSG00000173812	17	41688885	41692668	17	39845137.0	39848920.0	4.0	0.04476	0.48215	5.482456140350877e-05	False	tested	reused_checksum_validated_phase19_full_genome_magma
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0056	EIF1B	P3	csf_abeta42	GCST90726396	ENSG00000114784	3	40309707	40312424	3	40351175.0	40353915.0	7.0	-0.65616	0.74414	5.482456140350877e-05	False	tested	reused_checksum_validated_phase19_full_genome_magma
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0057	EIF3K	P3	csf_abeta42	GCST90726396	ENSG00000178982	19	38619082	38636955	19	39109735.0	39127595.0	17.0	-0.26255	0.60355	5.482456140350877e-05	False	tested	reused_checksum_validated_phase19_full_genome_magma
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0058	EIF4A2	P2	csf_abeta42	GCST90726396	ENSG00000156976	3	186783205	186789897	3	186500994.0	186507689.0	15.0	-0.21444	0.5849	5.482456140350877e-05	False	tested	reused_checksum_validated_phase19_full_genome_magma
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0059	ELOB	P3	csf_abeta42	GCST90726396	ENSG00000103363	16	2771414	2777289	16	2821415.0	2827298.0	14.0	0.6817	0.24771	5.482456140350877e-05	False	tested	reused_checksum_validated_phase19_full_genome_magma
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0060	EPHA7	P3	csf_abeta42	GCST90726396	ENSG00000135333	6	93240020	93419687	6	93949738.0	94129265.0	365.0	0.92042	0.17868	5.482456140350877e-05	False	tested	reused_checksum_validated_phase19_full_genome_magma
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0061	ERBIN	P3	csf_abeta42	GCST90726396	ENSG00000112851	5	65883128	66082546	5	65222303.0	65378377.0	143.0	1.7366	0.041227	5.482456140350877e-05	False	tested	reused_checksum_validated_phase19_full_genome_magma
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0062	ERP29	P3	csf_abeta42	GCST90726396	ENSG00000089248	12	112013348	112023449	12	112451120.0	112461255.0	12.0	-1.9089	0.97186	5.482456140350877e-05	False	tested	reused_checksum_validated_phase19_full_genome_magma
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0063	EVA1C	P2	csf_abeta42	GCST90726396	ENSG00000166979	21	32412006	32515397	21	33784314.0	33887707.0	264.0	0.34524	0.36496	5.482456140350877e-05	False	tested	reused_checksum_validated_phase19_full_genome_magma
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0064	EXOC7	P3	csf_abeta42	GCST90726396	ENSG00000182473	17	76081016	76121576	17	74077087.0	74117657.0	114.0	1.5521	0.060318	5.482456140350877e-05	False	tested	reused_checksum_validated_phase19_full_genome_magma
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0065	FAU	P2	csf_abeta42	GCST90726396	ENSG00000149806	11	65120630	65122177	11	64888100.0	64889945.0	2.0	1.7286	0.04194	5.482456140350877e-05	False	tested	reused_checksum_validated_phase19_full_genome_magma
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0066	FBF1	P3	csf_abeta42	GCST90726396	ENSG00000188878	17	75909574	75941140	17	73905655.0	73937221.0	39.0	0.37566	0.35358	5.482456140350877e-05	False	tested	reused_checksum_validated_phase19_full_genome_magma
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0067	FBXW4	P3	csf_abeta42	GCST90726396	ENSG00000107829	10	101610664	101695295	10	103370423.0	103455052.0	97.0	0.69953	0.24211	5.482456140350877e-05	False	tested	reused_checksum_validated_phase19_full_genome_magma
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0068	FGFR2	P3	csf_abeta42	GCST90726396	ENSG00000066468	10	121478332	121598458	10	123237848.0	123357972.0	190.0	0.48411	0.31415	5.482456140350877e-05	False	tested	reused_checksum_validated_phase19_full_genome_magma
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0069	FN3K	P3	csf_abeta42	GCST90726396	ENSG00000167363	17	82735615	82751196	17	80693451.0	80709073.0	52.0	2.5824	0.0049062	5.482456140350877e-05	False	tested	reused_checksum_validated_phase19_full_genome_magma
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0070	FNDC3B	P3	csf_abeta42	GCST90726396	ENSG00000075420	3	172039578	172401669	3	171757418.0	172119455.0	822.0	1.1723	0.12053	5.482456140350877e-05	False	tested	reused_checksum_validated_phase19_full_genome_magma
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0071	FTL	P2	csf_abeta42	GCST90726396	ENSG00000087086	19	48965309	48966879	19	49468558.0	49470135.0	1.0	-0.41083	0.6594	5.482456140350877e-05	False	tested	reused_checksum_validated_phase19_full_genome_magma
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0072	GABARAPL2	P2	csf_abeta42	GCST90726396	ENSG00000034713	16	75566375	75577881	16	75600249.0	75611779.0	17.0	0.16609	0.43404	5.482456140350877e-05	False	tested	reused_checksum_validated_phase19_full_genome_magma
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0073	GABPB2	P3	csf_abeta42	GCST90726396	ENSG00000143458	1	151070578	151125542	1	151043054.0	151098018.0	111.0	1.1174	0.13191	5.482456140350877e-05	False	tested	reused_checksum_validated_phase19_full_genome_magma
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0074	GABRA1	P3	csf_abeta42	GCST90726396	ENSG00000022355	5	161847063	161899981	5	161274197.0	161326975.0	112.0	-0.90218	0.81652	5.482456140350877e-05	False	tested	reused_checksum_validated_phase19_full_genome_magma
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0075	GALNT2	P2	csf_abeta42	GCST90726396	ENSG00000143641	1	230057990	230282122	1	230193536.0	230417870.0	724.0	0.89214	0.18616	5.482456140350877e-05	False	tested	reused_checksum_validated_phase19_full_genome_magma
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0076	GAPDH	P2	csf_abeta42	GCST90726396	ENSG00000111640	12	6534512	6538374	12	6643093.0	6647537.0	11.0	-0.86225	0.80572	5.482456140350877e-05	False	tested	reused_checksum_validated_phase19_full_genome_magma
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0077	GATAD1	P2	csf_abeta42	GCST90726396	ENSG00000157259	7	92447482	92460075	7	92076767.0	92088150.0	11.0	1.0009	0.15843	5.482456140350877e-05	False	tested	reused_checksum_validated_phase19_full_genome_magma
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0078	GCLM	P3	csf_abeta42	GCST90726396	ENSG00000023909	1	93885199	93909456	1	94350761.0	94374966.0	51.0	-0.28001	0.61026	5.482456140350877e-05	False	tested	reused_checksum_validated_phase19_full_genome_magma
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0079	GGH	P3	csf_abeta42	GCST90726396	ENSG00000137563	8	63014881	63039407	8	63927638.0	63951730.0	87.0	0.93684	0.17442	5.482456140350877e-05	False	tested	reused_checksum_validated_phase19_full_genome_magma
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0080	GNG3	P2	csf_abeta42	GCST90726396	ENSG00000162188	11	62707676	62709201	11	62475130.0	62476673.0	2.0	-0.85767	0.80446	5.482456140350877e-05	False	tested	reused_checksum_validated_phase19_full_genome_magma
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0081	GREB1	P3	csf_abeta42	GCST90726396	ENSG00000196208	2	11482341	11642788	2	11674242.0	11782914.0	292.0	1.0935	0.13709	5.482456140350877e-05	False	tested	reused_checksum_validated_phase19_full_genome_magma
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0082	GRINA	P2	csf_abeta42	GCST90726396	ENSG00000178719	8	143990056	143993415	8	145064226.0	145067583.0	3.0	1.3554	0.087646	5.482456140350877e-05	False	tested	reused_checksum_validated_phase19_full_genome_magma
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0083	GSTP1	P2	csf_abeta42	GCST90726396	ENSG00000084207	11	67583742	67586656	11	67351066.0	67354131.0	10.0	-0.46293	0.67829	5.482456140350877e-05	False	tested	reused_checksum_validated_phase19_full_genome_magma
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0084	GTF2A1	P3	csf_abeta42	GCST90726396	ENSG00000165417	14	81175452	81221377	14	81641796.0	81687721.0	76.0	-0.79583	0.78693	5.482456140350877e-05	False	tested	reused_checksum_validated_phase19_full_genome_magma
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0085	HOOK2	P3	csf_abeta42	GCST90726396	ENSG00000095066	19	12763003	12872740	19	12873817.0	12983554.0	213.0	-0.64519	0.7406	5.482456140350877e-05	False	tested	reused_checksum_validated_phase19_full_genome_magma
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0086	HSP90AB1	P2	csf_abeta42	GCST90726396	ENSG00000096384	6	44246166	44253888	6	44214824.0	44221620.0	16.0	-1.1204	0.86873	5.482456140350877e-05	False	tested	reused_checksum_validated_phase19_full_genome_magma
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0087	HSPA13	P3	csf_abeta42	GCST90726396	ENSG00000155304	21	14371115	14383484	21	15743436.0	15755805.0	42.0	-0.45273	0.67463	5.482456140350877e-05	False	tested	reused_checksum_validated_phase19_full_genome_magma
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0088	HSPA1A	P2	csf_abeta42	GCST90726396	ENSG00000204389	6	31815543	31817946	6	31783291.0	31785723.0	1.0	0.46379	0.3214	5.482456140350877e-05	False	tested	reused_checksum_validated_phase19_full_genome_magma
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0089	HSPH1	P2	csf_abeta42	GCST90726396	ENSG00000120694	13	31134973	31162388	13	31710762.0	31736525.0	47.0	0.51689	0.30261	5.482456140350877e-05	False	tested	reused_checksum_validated_phase19_full_genome_magma
